cidade|id|station
quintana|3451950|22890
paulopolis|3454667|22890
herculandia|3461689|22890
pompeia|3453242|22890
tupa|3445942|22864
marilia|3457692|22868
alves-lima|3472410|22891
parnaso|3454955|22891
juliania|3459501|22891
palma|3455474|22891
novos-cravinhos|3456071|22891
santa-estela|3450253|22891
oscar-bressane|3455773|22891
pitangueiras|3453466|22891
cavalin|3466588|22891
oriente|3455795|22891
pito-aceso|3453449|22891
vila-olinda|3445041|22891
vila-audenia|3445090|22891
quilometro-sete|3451984|22891
avencas|3471280|22891
lutecia|3458334|22891
queiros|3452069|22891
padre-nobrega|3455570|22891
bora|3469189|22891
letonia|3458622|22891
sao-manuel|3448549|22891
rosalia|3450890|22891
universo|3445741|22891
vista-alegre|3444950|22891
arco-iris|3471684|22891
valdelandia|3445603|22891
santa-america|3450454|22891
amadeu-amaral|3472396|22891
dirceu|3464702|22891
echapora|3464366|22891
macucos|3458175|22891
tabajara|3447208|22891
catequese|3466679|22891
dourados|3464460|22860
sao-paulo|3448439|22898
rio-branco|3448439|22898
salvador|3450554|22679
brasilia|3469058|22718
maceio|3395981|22618
macapa|3396016|22447
manaus|3663517|22487
vitoria|3444924|22820
goiania|3462377|22733
sao-luis|3388368|22476
cuiaba|3465038|22707
campo-grande|3467747|22801
belo-horizonte|3470127|22788
belem|3405870|22465
joao-pessoa|3397277|22577
curitiba|3464975|22931
recife|3390760|22599
teresina|3386496|22526
rio-de-janeiro|3451190|22886
natal|3394023|22537
porto-alegre|3452925|22980
porto-velho|3662762|22583
boa-vista|3664980|22435
florianopolis|3463237|22952
aracaju|3471872|22646
palmas|3474574|22562
bauru|3470279|22829
lins|3458494|22822
assis|3471374|22891
candido-mota|3467542|22891
platina|3453409|22891
dourado|3464479|22891
palmital|3455342|22891
maracai|3457862|22891
echapora|3464366|22891
ribeirao-do-sul|6318128|22891
lutecia|3458334|22891
sapezal|3448070|22891
bora|3469189|22891
junqueiropolis|3469189|22891
matao|3457509|22822
taboao-da-serra|3447186|22899
rinopolis|3451272|22891
pindamonhangaba|3453837|22862
